date,product,region,units_sold,unit_price,discount_pct,revenue
2024-01-01,Tablet,East,24,599,20.0,11500.800000000001
2024-01-02,Watch,West,11,249,20.0,2191.2000000000003
2024-01-03,Laptop,East,49,999,10.0,44055.9
2024-01-04,Tablet,North,8,399,20.0,2553.6000000000004
2024-01-05,Tablet,West,36,249,0.0,8964.0
2024-01-06,Watch,North,38,999,15.0,32267.7
2024-01-07,Laptop,West,40,599,0.0,23960.0
2024-01-08,Laptop,West,20,599,0.0,11980.0
2024-01-09,Tablet,South,35,999,20.0,27972.0
2024-01-10,Phone,North,48,399,15.0,16279.199999999999
2024-01-11,Tablet,East,25,599,15.0,12728.75
2024-01-12,Tablet,East,35,599,15.0,17820.25
2024-01-13,Tablet,North,25,599,10.0,13477.5
2024-01-14,Tablet,East,29,999,20.0,23176.800000000003
2024-01-15,Watch,East,18,249,15.0,3809.7
2024-01-16,Laptop,North,46,599,10.0,24798.600000000002
2024-01-17,Watch,West,18,249,5.0,4257.9
2024-01-18,Watch,North,2,399,5.0,758.0999999999999
2024-01-19,Watch,West,35,599,10.0,18868.5
2024-01-20,Tablet,East,16,599,10.0,8625.6
2024-01-21,Phone,East,41,399,20.0,13087.2
2024-01-22,Laptop,East,36,599,20.0,17251.2
2024-01-23,Phone,South,33,249,5.0,7806.15
2024-01-24,Watch,West,4,999,15.0,3396.6
2024-01-25,Watch,South,33,249,5.0,7806.15
2024-01-26,Phone,South,14,999,15.0,11888.1
2024-01-27,Phone,North,21,999,15.0,17832.149999999998
2024-01-28,Phone,South,48,249,20.0,9561.6
2024-01-29,Watch,North,20,249,0.0,4980.0
2024-01-30,Watch,North,8,249,0.0,1992.0
2024-01-31,Laptop,South,7,249,10.0,1568.7
2024-02-01,Laptop,West,3,399,20.0,957.6
2024-02-02,Watch,West,17,599,15.0,8655.55
2024-02-03,Phone,West,33,999,0.0,32967.0
2024-02-04,Phone,West,48,249,15.0,10159.199999999999
2024-02-05,Laptop,West,12,249,0.0,2988.0
2024-02-06,Watch,South,22,249,0.0,5478.0
2024-02-07,Laptop,South,22,399,0.0,8778.0
2024-02-08,Laptop,East,46,249,20.0,9163.2
2024-02-09,Tablet,West,30,249,5.0,7096.5
2024-02-10,Tablet,South,38,249,15.0,8042.7
2024-02-11,Tablet,East,38,599,20.0,18209.600000000002
2024-02-12,Phone,West,45,399,20.0,14364.0
2024-02-13,Watch,North,8,249,20.0,1593.6000000000001
2024-02-14,Watch,East,27,999,20.0,21578.4
2024-02-15,Watch,South,27,999,20.0,21578.4
2024-02-16,Watch,North,34,999,10.0,30569.4
2024-02-17,Tablet,North,21,399,15.0,7122.15
2024-02-18,Phone,North,30,399,20.0,9576.0
2024-02-19,Phone,East,33,999,15.0,28021.95
2024-02-20,Tablet,South,28,249,,6274.8
2024-02-21,Phone,North,47,399,10.0,16877.7
2024-02-22,Tablet,West,33,999,15.0,28021.95
2024-02-23,Watch,North,5,999,0.0,4995.0
